	company.value	companyLabel.xml:lang	companyLabel.value	numEmployees.value	point.value
11333	http://www.wikidata.org/entity/Q52855351	en	Adient Bor	886	2018-01-01T00:00:00Z
11334	http://www.wikidata.org/entity/Q50319052	en	Bestsport	91	2018-01-01T00:00:00Z
11335	http://www.wikidata.org/entity/Q51994163	en	Cre-a Impresiones de Catalunya	96	2016-01-01T00:00:00Z
11336	http://www.wikidata.org/entity/Q52852506	en	Panasonic Automotive Systems Czech	901	2018-01-01T00:00:00Z
11337	http://www.wikidata.org/entity/Q52852506	en	Panasonic Automotive Systems Czech	909	2017-01-01T00:00:00Z
11338	http://www.wikidata.org/entity/Q52852923	en	British American Tobacco (Czech Republic)	126	2018-01-01T00:00:00Z
11339	http://www.wikidata.org/entity/Q52852923	en	British American Tobacco (Czech Republic)	132	2017-01-01T00:00:00Z
11340	http://www.wikidata.org/entity/Q52852923	en	British American Tobacco (Czech Republic)	132	2019-01-01T00:00:00Z
11341	http://www.wikidata.org/entity/Q52852923	en	British American Tobacco (Czech Republic)	135	2016-01-01T00:00:00Z
11342	http://www.wikidata.org/entity/Q52855390	en	BM Česko	958	2018-01-01T00:00:00Z
11343	http://www.wikidata.org/entity/Q52855390	en	BM Česko	1015	2019-01-01T00:00:00Z
11344	http://www.wikidata.org/entity/Q50728030	en	Trigon	1	2018-01-01T00:00:00Z
11345	http://www.wikidata.org/entity/Q50821198	en	Natland	15	2018-01-01T00:00:00Z
11346	http://www.wikidata.org/entity/Q50821198	en	Natland	11	2017-01-01T00:00:00Z
11347	http://www.wikidata.org/entity/Q51906440	en	Zentiva Group	260	2016-01-01T00:00:00Z
11348	http://www.wikidata.org/entity/Q51906440	en	Zentiva Group	359	2018-01-01T00:00:00Z
11349	http://www.wikidata.org/entity/Q51906440	en	Zentiva Group	298	2017-01-01T00:00:00Z
11350	http://www.wikidata.org/entity/Q52853475	en	Constellium Extrusions Děčín	844	2021-01-01T00:00:00Z
11351	http://www.wikidata.org/entity/Q52853475	en	Constellium Extrusions Děčín	873	2020-01-01T00:00:00Z
11352	http://www.wikidata.org/entity/Q51374033	en	AT computers	333	2022-01-01T00:00:00Z
11353	http://www.wikidata.org/entity/Q51374033	en	AT computers	332	2021-01-01T00:00:00Z
11354	http://www.wikidata.org/entity/Q51374033	en	AT computers	323	2020-01-01T00:00:00Z
11355	http://www.wikidata.org/entity/Q51374033	en	AT computers	322	2019-01-01T00:00:00Z
11356	http://www.wikidata.org/entity/Q52852600	en	Alliance Healthcare	414	2023-01-01T00:00:00Z
11357	http://www.wikidata.org/entity/Q52852600	en	Alliance Healthcare	415	2022-01-01T00:00:00Z
11358	http://www.wikidata.org/entity/Q52852600	en	Alliance Healthcare	407	2020-01-01T00:00:00Z
11359	http://www.wikidata.org/entity/Q26822168	en	Campo Santo	12	2018-01-01T00:00:00Z
11360	http://www.wikidata.org/entity/Q27830718	en	Czech Media Invest	1009	2017-01-01T00:00:00Z
11361	http://www.wikidata.org/entity/Q27830718	en	Czech Media Invest	1196	2018-01-01T00:00:00Z
11362	http://www.wikidata.org/entity/Q27830718	en	Czech Media Invest	924	2016-01-01T00:00:00Z
11363	http://www.wikidata.org/entity/Q27926240	en	Wikov Industry	1026	2017-01-01T00:00:00Z
11364	http://www.wikidata.org/entity/Q26678627	en	ZF Automotive Czech	1231	2017-01-01T00:00:00Z
11365	http://www.wikidata.org/entity/Q26678627	en	ZF Automotive Czech	1298	2018-01-01T00:00:00Z
11366	http://www.wikidata.org/entity/Q26678627	en	ZF Automotive Czech	1128	2016-01-01T00:00:00Z
11367	http://www.wikidata.org/entity/Q26678627	en	ZF Automotive Czech	1363	2019-01-01T00:00:00Z
11368	http://www.wikidata.org/entity/Q26884311	en	Stavební spořitelna České spořitelny	189	2018-01-01T00:00:00Z
11369	http://www.wikidata.org/entity/Q26884311	en	Stavební spořitelna České spořitelny	182	2017-01-01T00:00:00Z
11370	http://www.wikidata.org/entity/Q27450053	en	Pražská teplárenská	474	2017-01-01T00:00:00Z
11371	http://www.wikidata.org/entity/Q27450053	en	Pražská teplárenská	414	2019-01-01T00:00:00Z
11372	http://www.wikidata.org/entity/Q27450053	en	Pražská teplárenská	445	2018-01-01T00:00:00Z
11373	http://www.wikidata.org/entity/Q27778959	en	Mattoni 1873	468	2018-01-01T00:00:00Z
11374	http://www.wikidata.org/entity/Q27778959	en	Mattoni 1873	482	2017-01-01T00:00:00Z
11375	http://www.wikidata.org/entity/Q27778959	en	Mattoni 1873	450	2016-01-01T00:00:00Z
11376	http://www.wikidata.org/entity/Q27898860	en	Foxconn CZ	922	2018-01-01T00:00:00Z
11377	http://www.wikidata.org/entity/Q27898860	en	Foxconn CZ	963	2019-01-01T00:00:00Z
11378	http://www.wikidata.org/entity/Q27898860	en	Foxconn CZ	1163	2020-01-01T00:00:00Z
11379	http://www.wikidata.org/entity/Q27898860	en	Foxconn CZ	3637	2014-01-01T00:00:00Z
11380	http://www.wikidata.org/entity/Q27898860	en	Foxconn CZ	3732	2015-01-01T00:00:00Z
11381	http://www.wikidata.org/entity/Q27898860	en	Foxconn CZ	3988	2016-01-01T00:00:00Z
11382	http://www.wikidata.org/entity/Q27898860	en	Foxconn CZ	2063	2017-01-01T00:00:00Z
11383	http://www.wikidata.org/entity/Q26678630	en	WITTE Nejdek	1855	2018-01-01T00:00:00Z
11384	http://www.wikidata.org/entity/Q26678630	en	WITTE Nejdek	1799	2017-01-01T00:00:00Z
11385	http://www.wikidata.org/entity/Q27031830	en	Chesbro Music Company	75	2019-03-19T00:00:00Z
11386	http://www.wikidata.org/entity/Q27220602	en	Teton Guitars	50	2019-03-19T00:00:00Z
11387	http://www.wikidata.org/entity/Q27910063	en	Banka Creditas	223	2018-12-31T00:00:00Z
11388	http://www.wikidata.org/entity/Q27910063	en	Banka Creditas	223	2017-12-31T00:00:00Z
11389	http://www.wikidata.org/entity/Q27985648	en	Bosch Powertrain	3975	2016-01-01T00:00:00Z
11390	http://www.wikidata.org/entity/Q27985648	en	Bosch Powertrain	4007	2017-01-01T00:00:00Z
11391	http://www.wikidata.org/entity/Q27985648	en	Bosch Powertrain	4011	2018-01-01T00:00:00Z
11392	http://www.wikidata.org/entity/Q26794431	en	Jadrankamen	130	2014-04-14T00:00:00Z
11393	http://www.wikidata.org/entity/Q26937899		Q26937899	73	2019-01-01T00:00:00Z
11394	http://www.wikidata.org/entity/Q27148162	en	Ramel, S.A.	7800	2005-01-01T00:00:00Z
11395	http://www.wikidata.org/entity/Q27346586		Q27346586	400	2009-01-01T00:00:00Z
11396	http://www.wikidata.org/entity/Q26678585	en	Ferona	1197	2019-01-01T00:00:00Z
11397	http://www.wikidata.org/entity/Q26678585	en	Ferona	1295	2017-12-31T00:00:00Z
11398	http://www.wikidata.org/entity/Q26678585	en	Ferona	1248	2016-12-31T00:00:00Z
11399	http://www.wikidata.org/entity/Q26678585	en	Ferona	1270	2015-12-31T00:00:00Z
11400	http://www.wikidata.org/entity/Q26678585	en	Ferona	1251	2018-01-01T00:00:00Z
11401	http://www.wikidata.org/entity/Q26710200	en	Sigma Group	536	2017-01-01T00:00:00Z
11402	http://www.wikidata.org/entity/Q27346316	en	Fortress Biotech	34	2016-01-01T00:00:00Z
11403	http://www.wikidata.org/entity/Q27346567	en	TNS energo	7700	2021-01-01T00:00:00Z
11404	http://www.wikidata.org/entity/Q27923775	en	Prusa Research (2009-2019)	58	2017-01-01T00:00:00Z
11405	http://www.wikidata.org/entity/Q27923775	en	Prusa Research (2009-2019)	39	2016-01-01T00:00:00Z
11406	http://www.wikidata.org/entity/Q27923775	en	Prusa Research (2009-2019)	182	2018-01-01T00:00:00Z
11407	http://www.wikidata.org/entity/Q26722428	en	MÁV-HÉV Helyiérdekű Vasút Zrt.	1213	2020-03-31T00:00:00Z
11408	http://www.wikidata.org/entity/Q26772614	en	Ratiodata	1445	2021-12-31T00:00:00Z
11409	http://www.wikidata.org/entity/Q26772614	en	Ratiodata	1409	2020-12-13T00:00:00Z
11410	http://www.wikidata.org/entity/Q26794821	en	Arctic Paper	1726	2018-01-01T00:00:00Z
11411	http://www.wikidata.org/entity/Q27969046	en	Promet Group	2528	2015-01-01T00:00:00Z
11412	http://www.wikidata.org/entity/Q27969046	en	Promet Group	3429	2017-01-01T00:00:00Z
11413	http://www.wikidata.org/entity/Q27971638	en	Minsk electrotechnical factory	3139	2017-01-01T00:00:00Z
11414	http://www.wikidata.org/entity/Q27972528	en	Alpiq Energy	46	2020-01-01T00:00:00Z
11415	http://www.wikidata.org/entity/Q27972528	en	Alpiq Energy	112	2014-01-01T00:00:00Z
11416	http://www.wikidata.org/entity/Q27972528	en	Alpiq Energy	112	2015-01-01T00:00:00Z
11417	http://www.wikidata.org/entity/Q27972528	en	Alpiq Energy	47	2019-01-01T00:00:00Z
11418	http://www.wikidata.org/entity/Q27972528	en	Alpiq Energy	149	2017-01-01T00:00:00Z
11419	http://www.wikidata.org/entity/Q27972528	en	Alpiq Energy	98	2018-01-01T00:00:00Z
11420	http://www.wikidata.org/entity/Q27972528	en	Alpiq Energy	134	2016-01-01T00:00:00Z
11421	http://www.wikidata.org/entity/Q26678616	en	SWS	295	2018-01-01T00:00:00Z
11422	http://www.wikidata.org/entity/Q26678616	en	SWS	283	2017-01-01T00:00:00Z
11423	http://www.wikidata.org/entity/Q26982043	en	PSJ	390	2015-01-01T00:00:00Z
11424	http://www.wikidata.org/entity/Q26982043	en	PSJ	351	2016-01-01T00:00:00Z
11425	http://www.wikidata.org/entity/Q27830718	en	Czech Media Invest	1982	2019-01-01T00:00:00Z
11426	http://www.wikidata.org/entity/Q27830718	en	Czech Media Invest	1893	2020-01-01T00:00:00Z
11427	http://www.wikidata.org/entity/Q26772614	en	Ratiodata	1417	2022-12-31T00:00:00Z
11428	http://www.wikidata.org/entity/Q26772614	en	Ratiodata	1309	2019-12-31T00:00:00Z
11429	http://www.wikidata.org/entity/Q26772614	en	Ratiodata	1197	2018-12-31T00:00:00Z
11430	http://www.wikidata.org/entity/Q26772614	en	Ratiodata	1115	2017-12-31T00:00:00Z
11431	http://www.wikidata.org/entity/Q27778959	en	Mattoni 1873	3350	2023-01-01T00:00:00Z
11432	http://www.wikidata.org/entity/Q27985648	en	Bosch Powertrain	3889	2022-01-01T00:00:00Z
11433	http://www.wikidata.org/entity/Q27486266	en	SJSC Riga International Airport	1317	2022-01-01T00:00:00Z
11434	http://www.wikidata.org/entity/Q26794476	en	Redcare Pharmacy	302	2016-12-31T00:00:00Z
11435	http://www.wikidata.org/entity/Q26794476	en	Redcare Pharmacy	182	2014-12-31T00:00:00Z
11436	http://www.wikidata.org/entity/Q26794476	en	Redcare Pharmacy	843	2018-12-31T00:00:00Z
11437	http://www.wikidata.org/entity/Q26794476	en	Redcare Pharmacy	251	2015-12-31T00:00:00Z
11438	http://www.wikidata.org/entity/Q26794476	en	Redcare Pharmacy	483	2017-12-31T00:00:00Z
11439	http://www.wikidata.org/entity/Q26794476	en	Redcare Pharmacy	2075	2023-12-31T00:00:00Z
11440	http://www.wikidata.org/entity/Q26794476	en	Redcare Pharmacy	1847	2022-12-31T00:00:00Z
11441	http://www.wikidata.org/entity/Q26794476	en	Redcare Pharmacy	1220	2020-12-31T00:00:00Z
11442	http://www.wikidata.org/entity/Q26794476	en	Redcare Pharmacy	1011	2019-12-31T00:00:00Z
11443	http://www.wikidata.org/entity/Q26794476	en	Redcare Pharmacy	133	2013-12-31T00:00:00Z
11444	http://www.wikidata.org/entity/Q26794476	en	Redcare Pharmacy	1569	2021-12-31T00:00:00Z
11445	http://www.wikidata.org/entity/Q26772614	en	Ratiodata	1470	2023-12-31T00:00:00Z
11446	http://www.wikidata.org/entity/Q27987987	en	Slutsk Cheese-Making Plant	4777	2022-01-01T00:00:00Z
11447	http://www.wikidata.org/entity/Q27987987	en	Slutsk Cheese-Making Plant	3764	2018-01-01T00:00:00Z
11448	http://www.wikidata.org/entity/Q27987987	en	Slutsk Cheese-Making Plant	1300	2008-01-01T00:00:00Z
11449	http://www.wikidata.org/entity/Q27987987	en	Slutsk Cheese-Making Plant	70	1948-01-01T00:00:00Z
11450	http://www.wikidata.org/entity/Q27987987	en	Slutsk Cheese-Making Plant	3500	2012-01-01T00:00:00Z
11451	http://www.wikidata.org/entity/Q28154806	en	MINDBODY	1337	2016-01-01T00:00:00Z
11452	http://www.wikidata.org/entity/Q28131582	en	Johanniter GmbH	14802	2019-01-01T00:00:00Z
11453	http://www.wikidata.org/entity/Q28131582	en	Johanniter GmbH	16600	2020-01-01T00:00:00Z
11454	http://www.wikidata.org/entity/Q28201164	en	Kaufland Česká republika	11741	2015-01-01T00:00:00Z
11455	http://www.wikidata.org/entity/Q28201164	en	Kaufland Česká republika	11021	2020-01-01T00:00:00Z
