	ceoname.value	company.value	companyLabel.xml:lang	companyLabel.value	ceonameLabel.xml:lang	ceonameLabel.value	starttime.value
2186	http://www.wikidata.org/entity/Q95439741	http://www.wikidata.org/entity/Q12006431	en	Všeobecná zdravotní pojišťovna České republiky	en	Pavel Horák	2007-01-01T00:00:00Z
2187	http://www.wikidata.org/entity/Q110541421	http://www.wikidata.org/entity/Q21463195	en	Hubstaff	en	Jared Brown	2020-10-01T00:00:00Z
2188	http://www.wikidata.org/entity/Q116175094	http://www.wikidata.org/entity/Q113838854	en	Keka Aerospace	en	Jean-Patrice Keka	2004-01-01T00:00:00Z
2189	http://www.wikidata.org/entity/Q115921261	http://www.wikidata.org/entity/Q115921434	en	Cofix Global	en	Blazej Bernard Reiss	2019-01-01T00:00:00Z
2190	http://www.wikidata.org/entity/Q115921261	http://www.wikidata.org/entity/Q115921434	en	Cofix Global	en	Blazej Bernard Reiss	2019-01-01T00:00:00Z
2191	http://www.wikidata.org/entity/Q115898957	http://www.wikidata.org/entity/Q6824111	en	Metinvest	en	Yuriy Ryzhenkov	2013-12-01T00:00:00Z
2192	http://www.wikidata.org/entity/Q115898957	http://www.wikidata.org/entity/Q6824111	en	Metinvest	en	Yuriy Ryzhenkov	2013-12-01T00:00:00Z
2193	http://www.wikidata.org/entity/Q116491844	http://www.wikidata.org/entity/Q457912	en	Bâloise	en	Michael Müller	2023-07-01T00:00:00Z
2194	http://www.wikidata.org/entity/Q63383058	http://www.wikidata.org/entity/Q7449804	en	Sempra	en	Jeffrey Martin	2018-01-01T00:00:00Z
2195	http://www.wikidata.org/entity/Q63975443	http://www.wikidata.org/entity/Q266423	en	Bristol-Myers Squibb	en	Giovanni Caforio	2015-05-01T00:00:00Z
2196	http://www.wikidata.org/entity/Q63975443	http://www.wikidata.org/entity/Q266423	en	Bristol-Myers Squibb	en	Giovanni Caforio	2015-05-01T00:00:00Z
2197	http://www.wikidata.org/entity/Q95728822	http://www.wikidata.org/entity/Q750292	en	Ruter	en	Bernt Reitan Jenssen	2007-12-14T00:00:00Z
