	subsidiaryname.value	company.value	companyLabel.xml:lang	companyLabel.value	subsidiarynameLabel.xml:lang	subsidiarynameLabel.value	starttime.value
223	http://www.wikidata.org/entity/Q1067845	http://www.wikidata.org/entity/Q691592	en	GlobalFoundries	en	Chartered Semiconductor Manufacturing	2010-01-23T00:00:00Z
224	http://www.wikidata.org/entity/Q1065819	http://www.wikidata.org/entity/Q4037686	en	Dunkin' Brands	en	Mister Donut	1990-01-01T00:00:00Z
225	http://www.wikidata.org/entity/Q1065819	http://www.wikidata.org/entity/Q4037686	en	Dunkin' Brands	en	Mister Donut	1990-01-01T00:00:00Z
226	http://www.wikidata.org/entity/Q1165227	http://www.wikidata.org/entity/Q48791239	en	Maxar Technologies	en	MDA Ltd.	2017-10-05T00:00:00Z
227	http://www.wikidata.org/entity/Q1177836	http://www.wikidata.org/entity/Q2018505	en	Davilex	en	Davilex Games	1997-01-01T00:00:00Z
228	http://www.wikidata.org/entity/Q853619	http://www.wikidata.org/entity/Q4836950	en	B Communications Ltd	en	Bezeq The Israeli Telecommunication Corp. Ltd.	2010-01-01T00:00:00Z
229	http://www.wikidata.org/entity/Q942327	http://www.wikidata.org/entity/Q95	en	Google	en	Waze	2013-06-01T00:00:00Z
230	http://www.wikidata.org/entity/Q1254149	http://www.wikidata.org/entity/Q3116111	en	Keurig Dr Pepper	en	Dr Pepper Snapple Group	2018-07-09T00:00:00Z
231	http://www.wikidata.org/entity/Q1254149	http://www.wikidata.org/entity/Q3116111	en	Keurig Dr Pepper	en	Dr Pepper Snapple Group	2018-07-09T00:00:00Z
232	http://www.wikidata.org/entity/Q1122074	http://www.wikidata.org/entity/Q27585	en	AOL	en	CompuServe	1998-02-01T00:00:00Z
233	http://www.wikidata.org/entity/Q1122074	http://www.wikidata.org/entity/Q27585	en	AOL	en	CompuServe	1998-02-01T00:00:00Z
234	http://www.wikidata.org/entity/Q1415262	http://www.wikidata.org/entity/Q744149	en	Wells Fargo	en	Wachovia	2008-12-31T00:00:00Z
235	http://www.wikidata.org/entity/Q1415262	http://www.wikidata.org/entity/Q744149	en	Wells Fargo	en	Wachovia	2008-12-31T00:00:00Z
236	http://www.wikidata.org/entity/Q1411739	http://www.wikidata.org/entity/Q1921579	en	Meredith Corporation	en	Time Inc.	2018-01-31T00:00:00Z
237	http://www.wikidata.org/entity/Q1117972	http://www.wikidata.org/entity/Q571934	en	Ford of Europe	en	Ford France	1916-01-01T00:00:00Z
238	http://www.wikidata.org/entity/Q1431486	http://www.wikidata.org/entity/Q674911	en	Mannesmann	en	Orange	1999-01-01T00:00:00Z
239	http://www.wikidata.org/entity/Q1431486	http://www.wikidata.org/entity/Q674911	en	Mannesmann	en	Orange	1999-01-01T00:00:00Z
240	http://www.wikidata.org/entity/Q1436915	http://www.wikidata.org/entity/Q44294	en	Ford Motor Company	en	Ford Argentina	1913-01-01T00:00:00Z
241	http://www.wikidata.org/entity/Q1437020	http://www.wikidata.org/entity/Q44294	en	Ford Motor Company	en	Ford do Brasil	1919-01-01T00:00:00Z
242	http://www.wikidata.org/entity/Q877193	http://www.wikidata.org/entity/Q542511	en	Hoechst	en	ThyssenKrupp Uhde	1952-01-01T00:00:00Z
243	http://www.wikidata.org/entity/Q1436863	http://www.wikidata.org/entity/Q44294	en	Ford Motor Company	en	Ford Motor Company of Japan	1925-01-01T00:00:00Z
244	http://www.wikidata.org/entity/Q1475683	http://www.wikidata.org/entity/Q614283	en	Grupo Globo	en	NET	1991-01-01T00:00:00Z
245	http://www.wikidata.org/entity/Q1129847	http://www.wikidata.org/entity/Q620875	en	Goodyear Tire and Rubber Company	en	Cooper Tire & Rubber Company	2021-06-07T00:00:00Z
246	http://www.wikidata.org/entity/Q1129847	http://www.wikidata.org/entity/Q620875	en	Goodyear Tire and Rubber Company	en	Cooper Tire & Rubber Company	2021-06-07T00:00:00Z
247	http://www.wikidata.org/entity/Q1608689	http://www.wikidata.org/entity/Q25245404	en	United Group	en	NOVA Greece	2020-01-01T00:00:00Z
248	http://www.wikidata.org/entity/Q1608689	http://www.wikidata.org/entity/Q25245404	en	United Group	en	NOVA Greece	2020-01-01T00:00:00Z
249	http://www.wikidata.org/entity/Q1477575	http://www.wikidata.org/entity/Q4049425	en	Shuanghui	en	Smithfield Foods	2013-01-01T00:00:00Z
250	http://www.wikidata.org/entity/Q1477575	http://www.wikidata.org/entity/Q4049425	en	Shuanghui	en	Smithfield Foods	2013-01-01T00:00:00Z
251	http://www.wikidata.org/entity/Q1601688	http://www.wikidata.org/entity/Q119400490	en	Deutsche Hefewerke	en	Helbing Kümmel	1927-01-01T00:00:00Z
252	http://www.wikidata.org/entity/Q1351854	http://www.wikidata.org/entity/Q173146	en	McLaren Technology Group	en	McLaren Automotive	1989-01-01T00:00:00Z
253	http://www.wikidata.org/entity/Q1054584	http://www.wikidata.org/entity/Q542511	en	Hoechst	en	CeramTec	1985-01-01T00:00:00Z
254	http://www.wikidata.org/entity/Q873450	http://www.wikidata.org/entity/Q121095200	en	Bunzl-Holding	en	Lenzing AG	1936-01-01T00:00:00Z
255	http://www.wikidata.org/entity/Q872718	http://www.wikidata.org/entity/Q121095200	en	Bunzl-Holding	en	Bunzl plc	1940-01-01T00:00:00Z
256	http://www.wikidata.org/entity/Q1439011	http://www.wikidata.org/entity/Q201653	en	SoftBank Group	en	Fortress Investment Group	2017-12-27T00:00:00Z
257	http://www.wikidata.org/entity/Q1438774	http://www.wikidata.org/entity/Q860580	en	Tencent	en	Supercell	2016-06-01T00:00:00Z
258	http://www.wikidata.org/entity/Q1206056	http://www.wikidata.org/entity/Q3295867	en	The Coca-Cola Company	en	Minute Maid	1960-09-09T00:00:00Z
259	http://www.wikidata.org/entity/Q1094880	http://www.wikidata.org/entity/Q3295867	en	The Coca-Cola Company	en	Energy Brands	2007-05-25T00:00:00Z
260	http://www.wikidata.org/entity/Q1456474	http://www.wikidata.org/entity/Q1736679	en	Katjes Fassin GmbH + Co. KG	en	Friedel	2002-01-01T00:00:00Z
261	http://www.wikidata.org/entity/Q1110685	http://www.wikidata.org/entity/Q160054	en	AXA	en	Colonia	1997-01-01T00:00:00Z
262	http://www.wikidata.org/entity/Q1207856	http://www.wikidata.org/entity/Q3221021	en	Le Chant du Monde	en	Harmonia Mundi	1993-01-01T00:00:00Z
263	http://www.wikidata.org/entity/Q1455332	http://www.wikidata.org/entity/Q99371808	en	General Dynamics European Land Systems	en	Steyr-SSF	2003-01-01T00:00:00Z
264	http://www.wikidata.org/entity/Q1104787	http://www.wikidata.org/entity/Q206921	en	Pfizer	en	Coty	1963-01-01T00:00:00Z
265	http://www.wikidata.org/entity/Q1420671	http://www.wikidata.org/entity/Q596139	en	Mattel	en	Fisher-Price	1993-01-01T00:00:00Z
266	http://www.wikidata.org/entity/Q1122074	http://www.wikidata.org/entity/Q29231846	en	Yahoo Inc.	en	CompuServe	2017-06-13T00:00:00Z
267	http://www.wikidata.org/entity/Q1274252	http://www.wikidata.org/entity/Q110940534	en	Premier Industries	en	EC Comics	1961-01-01T00:00:00Z
268	http://www.wikidata.org/entity/Q1258529	http://www.wikidata.org/entity/Q487292	en	Allianz SE	en	Dresdner Bank	2001-01-01T00:00:00Z
269	http://www.wikidata.org/entity/Q1151411	http://www.wikidata.org/entity/Q186941	en	Columbia Pictures	en	Gottlieb	1976-01-01T00:00:00Z
270	http://www.wikidata.org/entity/Q1150494	http://www.wikidata.org/entity/Q656229	en	Bushiroad	en	New Japan Pro-Wrestling	2012-01-01T00:00:00Z
271	http://www.wikidata.org/entity/Q1140873	http://www.wikidata.org/entity/Q7020906	en	Nexstar Media Group	en	KTLA	2019-01-01T00:00:00Z
272	http://www.wikidata.org/entity/Q1501547	http://www.wikidata.org/entity/Q502940	en	General Dynamics	en	General Atomics	1955-07-18T00:00:00Z
273	http://www.wikidata.org/entity/Q1318441	http://www.wikidata.org/entity/Q95	en	Google	en	AdMob	2010-05-27T00:00:00Z
