	subsidiaryId.value	company.value	industry.value	starttime.value	industry2.value	companyLabel.xml:lang	companyLabel.value	subsidiaryIdLabel.xml:lang	subsidiaryIdLabel.value	industryLabel.xml:lang	industryLabel.value	industry2Label.xml:lang	industry2Label.value
346	http://www.wikidata.org/entity/Q320207	http://www.wikidata.org/entity/Q542511	http://www.wikidata.org/entity/Q11661	1967-01-01T00:00:00Z	http://www.wikidata.org/entity/Q2309453	en	Hoechst	en	SGL Carbon SE	en	information technology	en	specialty chemicals
347	http://www.wikidata.org/entity/Q320207	http://www.wikidata.org/entity/Q542511	http://www.wikidata.org/entity/Q207652	1967-01-01T00:00:00Z	http://www.wikidata.org/entity/Q2309453	en	Hoechst	en	SGL Carbon SE	en	chemical industry	en	specialty chemicals
348	http://www.wikidata.org/entity/Q320207	http://www.wikidata.org/entity/Q542511	http://www.wikidata.org/entity/Q507443	1967-01-01T00:00:00Z	http://www.wikidata.org/entity/Q2309453	en	Hoechst	en	SGL Carbon SE	en	pharmaceutical industry	en	specialty chemicals
349	http://www.wikidata.org/entity/Q320207	http://www.wikidata.org/entity/Q542511	http://www.wikidata.org/entity/Q7202108	1967-01-01T00:00:00Z	http://www.wikidata.org/entity/Q2309453	en	Hoechst	en	SGL Carbon SE	en	plastics industry	en	specialty chemicals
350	http://www.wikidata.org/entity/Q320207	http://www.wikidata.org/entity/Q542511	http://www.wikidata.org/entity/Q56604459	1967-01-01T00:00:00Z	http://www.wikidata.org/entity/Q2309453	en	Hoechst	en	SGL Carbon SE	en	paint industry	en	specialty chemicals
351	http://www.wikidata.org/entity/Q321038	http://www.wikidata.org/entity/Q542511	http://www.wikidata.org/entity/Q11661	1957-01-01T00:00:00Z	http://www.wikidata.org/entity/Q207652	en	Hoechst	en	Abieta Chemie	en	information technology	en	chemical industry
352	http://www.wikidata.org/entity/Q321038	http://www.wikidata.org/entity/Q542511	http://www.wikidata.org/entity/Q207652	1957-01-01T00:00:00Z	http://www.wikidata.org/entity/Q207652	en	Hoechst	en	Abieta Chemie	en	chemical industry	en	chemical industry
353	http://www.wikidata.org/entity/Q321038	http://www.wikidata.org/entity/Q542511	http://www.wikidata.org/entity/Q507443	1957-01-01T00:00:00Z	http://www.wikidata.org/entity/Q207652	en	Hoechst	en	Abieta Chemie	en	pharmaceutical industry	en	chemical industry
354	http://www.wikidata.org/entity/Q321038	http://www.wikidata.org/entity/Q542511	http://www.wikidata.org/entity/Q7202108	1957-01-01T00:00:00Z	http://www.wikidata.org/entity/Q207652	en	Hoechst	en	Abieta Chemie	en	plastics industry	en	chemical industry
355	http://www.wikidata.org/entity/Q321038	http://www.wikidata.org/entity/Q542511	http://www.wikidata.org/entity/Q56604459	1957-01-01T00:00:00Z	http://www.wikidata.org/entity/Q207652	en	Hoechst	en	Abieta Chemie	en	paint industry	en	chemical industry
356	http://www.wikidata.org/entity/Q321312	http://www.wikidata.org/entity/Q542511	http://www.wikidata.org/entity/Q11661	1970-01-01T00:00:00Z	http://www.wikidata.org/entity/Q207652	en	Hoechst	en	Cassella	en	information technology	en	chemical industry
357	http://www.wikidata.org/entity/Q321312	http://www.wikidata.org/entity/Q542511	http://www.wikidata.org/entity/Q207652	1970-01-01T00:00:00Z	http://www.wikidata.org/entity/Q207652	en	Hoechst	en	Cassella	en	chemical industry	en	chemical industry
358	http://www.wikidata.org/entity/Q321312	http://www.wikidata.org/entity/Q542511	http://www.wikidata.org/entity/Q507443	1970-01-01T00:00:00Z	http://www.wikidata.org/entity/Q207652	en	Hoechst	en	Cassella	en	pharmaceutical industry	en	chemical industry
359	http://www.wikidata.org/entity/Q321312	http://www.wikidata.org/entity/Q542511	http://www.wikidata.org/entity/Q7202108	1970-01-01T00:00:00Z	http://www.wikidata.org/entity/Q207652	en	Hoechst	en	Cassella	en	plastics industry	en	chemical industry
360	http://www.wikidata.org/entity/Q321312	http://www.wikidata.org/entity/Q542511	http://www.wikidata.org/entity/Q56604459	1970-01-01T00:00:00Z	http://www.wikidata.org/entity/Q207652	en	Hoechst	en	Cassella	en	paint industry	en	chemical industry
361	http://www.wikidata.org/entity/Q478354	http://www.wikidata.org/entity/Q311394	http://www.wikidata.org/entity/Q1326885	2020-04-01T00:00:00Z		en	Infineon Technologies	en	Cypress Semiconductor	en	electrical industry		
362	http://www.wikidata.org/entity/Q478354	http://www.wikidata.org/entity/Q311394	http://www.wikidata.org/entity/Q2986369	2020-04-01T00:00:00Z		en	Infineon Technologies	en	Cypress Semiconductor	en	semiconductor industry		
363	http://www.wikidata.org/entity/Q478685	http://www.wikidata.org/entity/Q912476	http://www.wikidata.org/entity/Q11033	1995-01-01T00:00:00Z	http://www.wikidata.org/entity/Q12881256	en	Quebecor	en	Distribution Select	en	mass media	en	music distribution
364	http://www.wikidata.org/entity/Q478685	http://www.wikidata.org/entity/Q912476	http://www.wikidata.org/entity/Q11033	1995-01-01T00:00:00Z	http://www.wikidata.org/entity/Q12881256	en	Quebecor	en	Distribution Select	en	mass media	en	music distribution
365	http://www.wikidata.org/entity/Q398878	http://www.wikidata.org/entity/Q910379	http://www.wikidata.org/entity/Q189900	2000-01-01T00:00:00Z	http://www.wikidata.org/entity/Q1875606	en	Leonardo	en	AgustaWestland	en	information security	en	aircraft industry
366	http://www.wikidata.org/entity/Q398878	http://www.wikidata.org/entity/Q910379	http://www.wikidata.org/entity/Q189900	2000-01-01T00:00:00Z	http://www.wikidata.org/entity/Q1875606	en	Leonardo	en	AgustaWestland	en	information security	en	aircraft industry
367	http://www.wikidata.org/entity/Q398878	http://www.wikidata.org/entity/Q910379	http://www.wikidata.org/entity/Q392933	2000-01-01T00:00:00Z	http://www.wikidata.org/entity/Q1875606	en	Leonardo	en	AgustaWestland	en	arms industry	en	aircraft industry
368	http://www.wikidata.org/entity/Q579796	http://www.wikidata.org/entity/Q501476	http://www.wikidata.org/entity/Q1368944	1995-01-01T00:00:00Z	http://www.wikidata.org/entity/Q941594	en	Hasbro	en	Hasbro Interactive	en	game industry	en	video game industry
369	http://www.wikidata.org/entity/Q579796	http://www.wikidata.org/entity/Q501476	http://www.wikidata.org/entity/Q1368944	1995-01-01T00:00:00Z	http://www.wikidata.org/entity/Q941594	en	Hasbro	en	Hasbro Interactive	en	game industry	en	video game industry
370	http://www.wikidata.org/entity/Q642959	http://www.wikidata.org/entity/Q334800	http://www.wikidata.org/entity/Q540912	2008-01-01T00:00:00Z	http://www.wikidata.org/entity/Q540912	en	PepsiCo	en	Lebedyansky	en	food industry	en	food industry
371	http://www.wikidata.org/entity/Q642959	http://www.wikidata.org/entity/Q334800	http://www.wikidata.org/entity/Q1187656	2008-01-01T00:00:00Z	http://www.wikidata.org/entity/Q540912	en	PepsiCo	en	Lebedyansky	en	fast-moving consumer goods	en	food industry
372	http://www.wikidata.org/entity/Q642959	http://www.wikidata.org/entity/Q334800	http://www.wikidata.org/entity/Q4899370	2008-01-01T00:00:00Z	http://www.wikidata.org/entity/Q540912	en	PepsiCo	en	Lebedyansky	en	beverage industry	en	food industry
373	http://www.wikidata.org/entity/Q649053	http://www.wikidata.org/entity/Q542511	http://www.wikidata.org/entity/Q11661	1961-01-01T00:00:00Z		en	Hoechst	en	Ticona	en	information technology		
374	http://www.wikidata.org/entity/Q649053	http://www.wikidata.org/entity/Q542511	http://www.wikidata.org/entity/Q207652	1961-01-01T00:00:00Z		en	Hoechst	en	Ticona	en	chemical industry		
375	http://www.wikidata.org/entity/Q649053	http://www.wikidata.org/entity/Q542511	http://www.wikidata.org/entity/Q507443	1961-01-01T00:00:00Z		en	Hoechst	en	Ticona	en	pharmaceutical industry		
376	http://www.wikidata.org/entity/Q649053	http://www.wikidata.org/entity/Q542511	http://www.wikidata.org/entity/Q7202108	1961-01-01T00:00:00Z		en	Hoechst	en	Ticona	en	plastics industry		
377	http://www.wikidata.org/entity/Q649053	http://www.wikidata.org/entity/Q542511	http://www.wikidata.org/entity/Q56604459	1961-01-01T00:00:00Z		en	Hoechst	en	Ticona	en	paint industry		
378	http://www.wikidata.org/entity/Q140258	http://www.wikidata.org/entity/Q95	http://www.wikidata.org/entity/Q75	2011-01-01T00:00:00Z		en	Google	en	Zagat	en	Internet		
379	http://www.wikidata.org/entity/Q140258	http://www.wikidata.org/entity/Q95	http://www.wikidata.org/entity/Q11661	2011-01-01T00:00:00Z		en	Google	en	Zagat	en	information technology		
380	http://www.wikidata.org/entity/Q140258	http://www.wikidata.org/entity/Q95	http://www.wikidata.org/entity/Q189507	2011-01-01T00:00:00Z		en	Google	en	Zagat	en	Internet marketing		
381	http://www.wikidata.org/entity/Q140258	http://www.wikidata.org/entity/Q95	http://www.wikidata.org/entity/Q880371	2011-01-01T00:00:00Z		en	Google	en	Zagat	en	software industry		
382	http://www.wikidata.org/entity/Q140258	http://www.wikidata.org/entity/Q95	http://www.wikidata.org/entity/Q4182287	2011-01-01T00:00:00Z		en	Google	en	Zagat	en	search engine		
383	http://www.wikidata.org/entity/Q140258	http://www.wikidata.org/entity/Q95	http://www.wikidata.org/entity/Q56611700	2011-01-01T00:00:00Z		en	Google	en	Zagat	en	Internet industry		
384	http://www.wikidata.org/entity/Q498944	http://www.wikidata.org/entity/Q173395	http://www.wikidata.org/entity/Q25245117	2007-01-01T00:00:00Z	http://www.wikidata.org/entity/Q854954	en	Cisco	en	Webex by Cisco		Q25245117	en	videotelephony
385	http://www.wikidata.org/entity/Q498944	http://www.wikidata.org/entity/Q173395	http://www.wikidata.org/entity/Q25245117	2007-01-01T00:00:00Z	http://www.wikidata.org/entity/Q854954	en	Cisco	en	Webex by Cisco		Q25245117	en	videotelephony
386	http://www.wikidata.org/entity/Q159846	http://www.wikidata.org/entity/Q3088127	http://www.wikidata.org/entity/Q15078788	1994-07-01T00:00:00Z	http://www.wikidata.org/entity/Q590870	en	Viacom	en	Paramount Pictures	en	broadcasting	en	cinematography
387	http://www.wikidata.org/entity/Q159846	http://www.wikidata.org/entity/Q3088127	http://www.wikidata.org/entity/Q15078788	1994-07-01T00:00:00Z	http://www.wikidata.org/entity/Q1415395	en	Viacom	en	Paramount Pictures	en	broadcasting	en	film industry
388	http://www.wikidata.org/entity/Q392082	http://www.wikidata.org/entity/Q14552189	http://www.wikidata.org/entity/Q107597958	1929-01-01T00:00:00Z		en	Ringhoffer-Werke	en	ŠKODA VAGONKA	en	vehicle construction		
389	http://www.wikidata.org/entity/Q392082	http://www.wikidata.org/entity/Q14552189	http://www.wikidata.org/entity/Q107597958	1929-01-01T00:00:00Z		en	Ringhoffer-Werke	en	ŠKODA VAGONKA	en	vehicle construction		
390	http://www.wikidata.org/entity/Q392445	http://www.wikidata.org/entity/Q65053147	http://www.wikidata.org/entity/Q392933	2023-07-27T00:00:00Z		en	L3Harris Technologies	en	Aerojet Rocketdyne Holdings	en	arms industry		
391	http://www.wikidata.org/entity/Q392445	http://www.wikidata.org/entity/Q65053147	http://www.wikidata.org/entity/Q16955053	2023-07-27T00:00:00Z		en	L3Harris Technologies	en	Aerojet Rocketdyne Holdings	en	defense industry		
392	http://www.wikidata.org/entity/Q398878	http://www.wikidata.org/entity/Q910379	http://www.wikidata.org/entity/Q392933	2000-01-01T00:00:00Z	http://www.wikidata.org/entity/Q1875606	en	Leonardo	en	AgustaWestland	en	arms industry	en	aircraft industry
